VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2019,30.613806827,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2020,30.613806827,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Albania,2019,2.291390729,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Albania,2020,1.804635762,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Algeria,2019,57.178366332,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Algeria,2020,57.178366332,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Angola,2019,0.098854447,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Angola,2020,0.098854447,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Antigua and Barbuda,2019,3.461538461,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Antigua and Barbuda,2020,3.461538461,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Argentina,2019,3.187482881,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Argentina,2020,3.187482881,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Armenia,2019,27.468142618,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Armenia,2020,25.614622216,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Australia,2019,2.12398374,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Australia,2020,1.723577236,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Australia and New Zealand,2019,1.667521368,%,E,True
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Australia and New Zealand,2020,1.426984127,%,E,True
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Austria,2019,0.15958816,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Austria,2020,0.15958816,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Azerbaijan,2019,33.493871666,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Azerbaijan,2020,32.320115357,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bahrain,2019,124.74137931,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bahrain,2020,124.74137931,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bangladesh,2019,2.567170212,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bangladesh,2020,2.567170212,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Barbados,2019,68.5,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Barbados,2020,68.5,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belarus,2019,0.633851468,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belarus,2020,0.633851468,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belgium,2019,0.297814208,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belgium,2020,0.279781421,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belize,2019,0.314714273,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belize,2020,0.314714273,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Benin,2019,0.223569534,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Benin,2020,0.223569534,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bhutan,2019,0.407692308,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bhutan,2020,0.407692308,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bolivia (Plurinational State of),2019,0.334494774,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bolivia (Plurinational State of),2020,0.334494774,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Botswana,2019,0.609395425,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Botswana,2020,0.665601307,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Brazil,2019,0.49196253,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Brazil,2020,0.479010061,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Brunei Darussalam,2019,0.062352941,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Brunei Darussalam,2020,0.062352941,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bulgaria,2019,2.915492958,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bulgaria,2020,3.056338028,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Burkina Faso,2019,3.116296296,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Burkina Faso,2020,3.116296296,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Burundi,2019,1.770899809,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Burundi,2020,1.770899809,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cabo Verde,2019,29.841326667,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cabo Verde,2020,37.733583333,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cambodia,2019,0.43121193,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cambodia,2020,0.43121193,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cameroon,2019,0.260286067,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cameroon,2020,0.260286067,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Canada,2019,0.132977257,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Canada,2020,0.132977257,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Central African Republic,2019,0.000283688,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Central African Republic,2020,0.000283688,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Central Asia,2019,42.150616604,%,E,True
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Central Asia,2020,40.729782779,%,E,True
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Central and Southern Asia,2019,41.325724141,%,E,True
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Central and Southern Asia,2020,41.205292953,%,E,True
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Chad,2019,1.470897155,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Chad,2020,1.470897155,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Chile,2019,3.187225099,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Chile,2020,3.187225099,%,I,False
